"12","0ba25ba2-0776-487e-9f6c-daf7faf31fb2","qa-user-7789","qa.user@alkem.io","qa","user","qa.user@alkem.io","","","5c07f5a8-a0be-4ea6-be75-5e8fde5d4d06","08aa04ab-fb7c-4412-ae2f-3072b04289b4","26cbe10e-1f3b-459d-9a05-428406b99b0a","@qa.user=alkem.io:alkemio.matrix.host","0","a7ba90f9-360c-4487-83d3-b498bbaebe8d"
"8","0c04fdbd-785c-47cf-94c6-2832a6f107a4","challenge-admin-9545","challenge.admin@alkem.io","challenge","admin","challenge.admin@alkem.io","","","23137d18-439e-4b99-8fa9-e6b3f8ac7fb8","7a2c4d56-e272-4fee-baa0-9d6baf8f9c5e","4c85f559-27ab-498d-b188-91c30d3faa3f","@challenge.admin=alkem.io:alkemio.matrix.host","0","c25b59fd-f266-44a9-a888-fcf26a0fbb5c"
"11","1e6133ca-f864-4757-bc7e-2c4a98a2871b","non-space-2955","non.space@alkem.io","non","space","non.space@alkem.io","","","a17b1f72-c1ee-4055-9cc5-87cdcbe709e2","4c4b2253-c8ba-42d7-92f2-309075fd2175","17a58dcf-c6a8-485d-8431-237bf3f8e052","@non.space=alkem.io:alkemio.matrix.host","0","ddc3a329-dce3-4f9a-9397-665a2ce84bcb"
"3","280538d9-c6be-4aed-9024-9cf74193bc33","global-spaces-1238","global.spaces@alkem.io","global","spaces","global.spaces@alkem.io","","","81a215a6-00b3-43f2-b8f1-6229e7524cf3","fd998011-7e9e-4bd6-b636-cfe034d46ab7","821d8005-e434-449f-aed0-de44704154d0","@global.spaces=alkem.io:alkemio.matrix.host","0","cac1d1a1-7a8e-445a-a94b-d1c378cef58c"
"5","6f7083e9-d83d-48b4-bdf6-1d760ff998fb","space-admin-677","space.admin@alkem.io","space","admin","space.admin@alkem.io","","","47ee117c-9220-4ec8-90c2-f21505792c3c","43afe9b8-f60e-4301-a1fd-5951e5e5af83","e7fd79bf-0cc0-462b-af90-dcf1973d2a5b","@space.admin=alkem.io:alkemio.matrix.host","0","e4841c70-b4c6-4c7b-9dfe-9866258a4929"
"7","79c31b1c-cca4-4f09-979e-70d4990f661e","challenge-member-6097","challenge.member@alkem.io","challenge","member","challenge.member@alkem.io","","","fdbd288b-d07a-4cdc-b640-018ba298e2cb","2e2d8388-bc5d-4e1c-9430-8679f697b40d","fe999b58-17d3-4b86-9e6d-e4b99e79aaf7","@challenge.member=alkem.io:alkemio.matrix.host","0","e5bfaae3-a210-477f-83cf-260eeaa3fb41"
"2","96745a85-191e-45eb-bde6-296804a5039c","notifications-admin","notifications@alkem.io","notifications","admin","notifications@alkem.io","","","1c2db28a-29d1-46b7-b35d-460a4b2d2e9e","0fffcfef-af4f-48cb-badb-4c61f3d27427","ed16ba5c-e63c-4d4e-8316-000045734c6d","@notifications=alkem.io:alkemio.matrix.host","0","f4e080ff-8060-463c-9e65-bb3707713f47"
"4","a8549840-3689-4b1e-8fab-ce5fdbabeeac","community-admin-491","community.admin@alkem.io","community","admin","community.admin@alkem.io","","","45b063e9-2927-48ff-acba-bcebf0a747a5","39fd88aa-2157-4ecc-b0f3-6ab080e5b99d","ffb359e3-04de-4f46-b694-847014ac2ba4","@community.admin=alkem.io:alkemio.matrix.host","0","75a3c415-c286-44e7-b393-59814c358810"
"10","aebf524b-f038-4241-95ce-add906f603c1","opportunity-admin-9459","opportunity.admin@alkem.io","opportunity","admin","opportunity.admin@alkem.io","","","49b2d914-d347-49cc-9281-030ff563b1ee","5a66c2c7-63ce-4187-981f-c64bbaf4cd85","baa77415-2219-465e-8799-7a1be01b88fa","@opportunity.admin=alkem.io:alkemio.matrix.host","0","03bcbc0b-225e-42e2-bdfd-82f81b8b8564"
"6","b62a9939-416f-4aee-9bb8-dc6f0b669cb6","space-member-8192","space.member@alkem.io","space","member","space.member@alkem.io","","","8b5ece96-0b9c-42c4-bd5d-52ce623fa34c","4f2a550a-d7bd-4608-aa10-e5ba9d6f8d5f","eaaf5c44-14ab-4685-94e2-7628e67ae29a","@space.member=alkem.io:alkemio.matrix.host","0","f9e742ed-008d-4c88-8812-18d509f18562"
"1","b85abefb-46ef-4bc5-aeda-d92c34b41875","admin-alkemio","admin@alkem.io","admin","alkemio","admin@alkem.io","","","344bd848-3694-4628-9581-f3ab5aae9f02","6a29a3c3-c120-4e2d-9dbc-84c895f3734d","d7048e28-3cf7-402a-a2cd-b45bd92ed48d","@admin=alkem.io:alkemio.matrix.host","0","cf539447-6d05-4c54-89ab-f7ab4c47b179"
"9","c4b1a283-8333-40b2-ab7b-e38a768730f8","opportunity-member-3924","opportunity.member@alkem.io","opportunity","member","opportunity.member@alkem.io","","","b9934828-196c-433e-ba45-7bb95fb21476","fc1e83dc-a45d-4adb-b2a1-3a3fdeea365e","79e4799a-69f1-4a99-9a86-293c4bd4482f","@opportunity.member=alkem.io:alkemio.matrix.host","0","a5e71e3c-26ef-4206-a050-01cce6fe2495"
